model,blend weight,oof auc
siglip_256_catboost,0.2018254402521417,0.6671867044393622
siglip_384_catboost,0.19777253484858126,0.6668710981168572
eva_b_catboost,0.18979086170197756,0.6631831291578588
convnext_catboost,0.13003046027654272,0.6639452384343226
clip_base_siamese,0.12039190322104629,0.6584498487882114
siglip_256_siamese,0.08599506002132289,0.6609006991392703
clip_large_siamese,0.07419373967838765,0.6548190671130882
